0.00505,0.00501
0.01008,0.01001
0.01500,0.01491
0.01991,0.01980
0.02472,0.02458
0.02978,0.02961
0.03484,0.03465
0.03981,0.03959
0.04475,0.04451
0.04983,0.04957
0.05394,0.05366
0.05898,0.05868
0.06388,0.06357
0.06875,0.06843
0.07270,0.07236
0.07755,0.07719
0.08258,0.08219
0.08749,0.08709
0.09231,0.09190
0.09616,0.09574
0.10113,0.10069
0.10608,0.10563
0.11017,0.10970
0.11525,0.11477
0.12024,0.11974
0.12498,0.12447
0.13001,0.12948
0.13486,0.13431
0.13962,0.13905
0.14360,0.14302
0.14841,0.14781
0.15255,0.15194
0.15748,0.15686
0.16240,0.16176
0.16753,0.16689
0.17242,0.17177
0.17759,0.17692
0.18261,0.18193
0.18746,0.18678
0.19235,0.19168
0.19732,0.19665
0.20222,0.20155
0.20718,0.20650
0.21213,0.21146
0.21699,0.21632
0.22190,0.22123
0.22696,0.22629
0.23197,0.23130
0.23701,0.23634
0.24183,0.24116
0.24677,0.24610
0.25182,0.25113
0.25580,0.25511
0.26068,0.25998
0.26458,0.26388
0.26953,0.26883
0.27443,0.27372
0.27948,0.27877
0.28425,0.28354
0.28911,0.28840
0.29401,0.29330
0.29797,0.29726
0.30189,0.30118
0.30692,0.30620
0.31207,0.31135
0.31705,0.31632
0.32198,0.32125
0.32672,0.32597
0.33152,0.33076
0.33645,0.33568
0.34124,0.34047
0.34510,0.34433
0.34998,0.34920
0.35405,0.35326
0.35904,0.35825
0.36396,0.36317
0.36785,0.36705
0.37284,0.37204
0.37773,0.37692
0.38281,0.38200
0.38770,0.38688
0.39277,0.39194
0.39763,0.39680
0.40269,0.40186
0.40761,0.40677
0.41246,0.41161
0.41739,0.41652
0.42244,0.42155
0.42739,0.42647
0.43228,0.43134
0.43733,0.43637
0.44222,0.44124
0.44728,0.44627
0.45231,0.45127
0.45744,0.45637
0.46249,0.46139
0.46750,0.46637
0.47251,0.47135
0.47744,0.47624
0.48245,0.48123
0.48738,0.48614
0.49238,0.49111
0.49638,0.49508
0.50145,0.50013
0.50640,0.50505
0.51144,0.51006
0.51655,0.51514
0.52159,0.52014
0.52657,0.52509
0.53158,0.53006
0.53657,0.53501
0.54148,0.53988
0.54640,0.54475
0.55051,0.54882
0.55454,0.55281
0.55970,0.55791
0.56466,0.56281
0.56972,0.56781
0.57453,0.57256
0.57953,0.57750
0.58430,0.58221
0.58935,0.58720
0.59430,0.59209
0.59929,0.59702
0.60439,0.60204
0.60926,0.60685
0.61432,0.61184
0.61926,0.61671
0.62433,0.62171
0.62933,0.62663
0.63437,0.63160
0.63942,0.63658
0.64438,0.64146
0.64955,0.64654
0.65443,0.65135
